codevac;codedossier;description;ordre;estb;esth;famille;image
2;952;Un lot d'objets en nacre (boucles de ceinture, cachets, chapelets, broches, etc). ;234;0;0;17;119234.jpg
2;952;Un lot de broches, miniatures et métal doré. ;233;0;0;17;119235.jpg
2;952;Un lot de lorgnons et face-à-main, en l'état. ;232;0;0;17;119236.jpg
2;952;Lot de sept montres de gousset, argent et métal. ;231;0;0;17;119237.jpg
2;13548;Une suite de sept verres à orangeade en cristal taillé. ;151;0;0;17;119238.jpg
2;1128;Un carton comprenant des appliques décoratives, lot de métal argenté, vases, etc.;60;0;0;17;119239.jpg
2;1128;Un carton comprenant des cuivres dont bassine à confiture, casseroles et couvercles. etc.;59;0;0;17;119240.jpg
2;1128;Un fort lot de livres divers avec reliures;58;0;0;17;119241.jpg
2;1128;Un carton comprenant de vaisselle dont cloche à fromage Moustier, assiettes à dessert, éventails en l'état. etc.;57;0;0;17;119242.jpg
2;1128;Lot de vaisselles en faïence moderne, bol à raison, drageoir cristal etc.;56;0;0;17;119243.jpg
2;1128;Lot de verreries dont verres à dégustation, pots à eau, jolie carafe cristal gravé avec couronne etc.;55;0;0;17;119481.jpg
2;225;Lot de CADRES-PHOTOS divers.;84;0;0;17;119482.jpg
2;18;TABATIERE en buis sculpté à décor géométrique.;217;0;0;4;119433.jpg
2;18;SCULPTURE, penseur en bois sculpté;216;0;0;10;119434.jpg
2;952;Un lot de bijoux fantaisie, broches (broche papillon, broche fleurs), etc. ;268;0;0;17;119435.jpg
2;952;Un lot de colliers fantaisie et bijoux vers 1970. ;267;0;0;17;119436.jpg
2;952;Un lot de tabatières et bijoux en métal doré. ;266;0;0;17;119437.jpg
2;952;Un lot de bijoux fantaisie, broche cameés, broche Art Nouveau, broche porcelaine. ;265;0;0;17;119454.jpg
2;952;Un lot de bijoux en filigranes, et divers. ;264;0;0;17;119455.jpg
2;952;Un lot avec pic à chignon, bracelets, portes mines avec chaine, broches, pendentifs, etc. ;263;0;0;17;119456.jpg
2;952;Un lot de quatre canifs et couteaux de poche. ;262;0;0;17;119457.jpg
2;952;Un lot de boîtes à pilules, pendentifs poudriers, boîtes pyrgoènes, ;261;0;0;17;119458.jpg
2;952;Un lot de pièces, médailles, et objets détournés. ;260;0;0;17;119465.jpg
2;952;Un lot de bijoux fantaisie, clous d'oreilles, petites montres, et divers. ;259;0;0;17;119487.jpg
2;952;Un lot de boîtes et broches en micro-mosaïque, et un petit coquillage monté en boîte. ;258;0;0;17;119370.jpg
2;952;Un lot de bijoux ethniques. ;257;0;0;17;119371.jpg
2;952;Un fort lot de chapelets, croix et médailles religieuses. ;256;0;0;17;119372.jpg
2;952;Un lot de boucles de ceinture. ;255;0;0;17;119373.jpg
2;952;Un lot de sacs et bourses en maille. ;254;0;0;17;119374.jpg
2;952;Un lot de briquets Dunhil, Silver Match et divers. ;253;0;0;17;119476.jpg
2;952;Un lot de miroirs et sac, ustensiles manucure, un porte lame, et divers. ;252;0;0;17;119477.jpg
2;952;Epingles à chapeau et épingles de cravate. ;251;0;0;17;119244.jpg
2;952;Un lot de dés, porte-mines, plumes et petits sujets à poser. ;250;0;0;17;119245.jpg
2;952;Un lot de montres à gousset, et montres de col. ;249;0;0;17;119246.jpg
2;952;Un lot de petits cadres photos. ;248;0;0;17;119247.jpg
2;952;UN lot de boucles de ceinture. ;247;0;0;17;119249.jpg
2;14234;GUERDION le pietement en bois tourné (tâche);332;0;0;17;119250.jpg
2;14218;CONSOLE plateau de marbre, médaillons porcelaine en ceinture. Style Louis XVI;333;0;0;17;119251.jpg
2;14234;Serie de trois paires de meubles d'appoint quadrangulaire;334;0;0;10;119428.jpg
2;13602;Meuble Indien sur quatre roulettes à riche décor sculpté et têtes de chevaux;335;0;0;10;119429.jpg
2;14234;Petit BUREAU de PENTE stlyle Louis XV;336;0;0;10;119430.jpg
2;14234;Petite COMMODE à trois tiroirs en bois naturel;337;0;0;10;119431.jpg
2;14234;Petite TABLE à MUSIQUE en marqueterie (tâches);338;0;0;10;119432.jpg
2;14234;Petite TABLE d'apoint ouvrant par un tiroir style Louis XVI;339;0;0;10;119313.jpg
2;14234;Paire de CHEVETS en bois de placage style Louis XV;340;0;0;10;119314.jpg
2;7222;BERGERE en bois laqué vert style Louis XVI;341;80;100;10;119315.jpg
2;14234;BUREAU PLAT gainé de cuir vert style Empire. Accident à deux pieds.;342;0;0;17;119316.jpg
2;14078;POELE en fonte et carreaux de faïence verte;343;0;0;17;119317.jpg
2;14234;GUERIDON en bois clair ouvrant par un tiroir en ceinture petit accident;344;0;0;17;119318.jpg
2;14234;Suite de trois importantes BERGERES garnies de tissus ruge style Louis XVI;345;0;0;17;119319.jpg
2;14078;BANQUETTE en velours style Louis XVI;346;50;60;17;119320.jpg
2;13677;Deux LANDAUDS l'un MARMET BONNICHON Paris et SILVERCROSS pour l'autre;347;0;0;17;119321.jpg
2;14151;TABLE à JEU en bois tourné, style Anglais;348;0;0;17;119322.jpg
2;14250;TELEVISEUR SONY écran plat;349;0;0;17;119323.jpg
2;14250;GUERIDON le pietement tube en métal;350;0;0;17;119324.jpg
2;3934;Téléviseur TELEAVIA sur pied;351;0;0;17;119325.jpg
2;2468;BIBLIOTHEQUE à deux portes vitrées en placage d'acajou;352;0;0;17;119326.jpg
2;14221;Miroir en bois stuqué doré noeud de ruban;353;0;0;17;119327.jpg
2;13548;Paire de fauteuils crapaud en velours;354;0;0;17;119328.jpg
